worms_phylum,worms_valid_name,worms_id,checklist,idigbio,obis,bold
annelida,Mediomastus capensis,129890,1,0,0,0
annelida,Melinna cristata,129804,1,0,1,1
annelida,Melinna elisabethae,129805,1,0,0,0
annelida,Melinna oculata,329315,0,0,1,1
annelida,Mesochaetopterus taylori,157487,1,1,1,1
annelida,Microclymene caudata,329362,0,0,1,0
annelida,Micronephthys minuta,130348,0,0,1,1
annelida,Micronereis nanaimoensis,329379,1,1,1,1
annelida,Microphthalmus hystrix,329393,0,0,1,0
annelida,Microphthalmus sczelkowii,130174,0,0,1,0
annelida,Micropodarke dubia,334017,1,1,1,1
annelida,Microspio pigmentata,157490,0,0,1,0
annelida,Monopylephorus cuticulatus,475934,1,1,1,0
annelida,Monopylephorus parvus,137550,1,0,0,0
annelida,Monopylephorus rubroniveus,137551,1,1,1,1
annelida,Mooreonuphis stigmatis,334041,1,1,0,0
annelida,Myrianida flava,388939,0,0,1,1
annelida,Myriochele gracilis,329068,0,0,1,0
annelida,Myriochele heeri,130542,0,0,1,0
annelida,Myriochele olgae,329073,0,0,1,0
annelida,Mystides borealis,130653,1,0,0,0
annelida,Myxicola infundibulum,130932,1,1,1,0
annelida,Myzostoma pseudogigas,335248,1,0,0,0
annelida,Naineris dendritica,334057,1,0,1,1
annelida,Naineris grubei,334058,0,0,1,0
annelida,Naineris quadricuspida,130517,1,1,1,1
annelida,Naineris uncinata,329420,1,1,1,0
annelida,Nais elinguis,137481,1,0,0,1
annelida,Nais variabilis,137482,1,0,0,1
annelida,Nellobia eusoma,182833,1,1,0,0
annelida,Neoamphitrite edwardsi,131503,1,0,1,0
annelida,Neoamphitrite groenlandica,131506,1,0,0,0
annelida,Neoamphitrite robusta,334122,1,0,1,0
annelida,Neoleprea japonica,329506,1,0,0,0
annelida,Neoleprea spiralis,334126,1,1,0,0
annelida,Neosabellaria cementarium,334129,1,1,1,0
annelida,Nephtys assignis,329536,1,1,1,0
annelida,Nephtys brachycephala,334135,1,0,0,0
annelida,Nephtys caeca,130355,1,1,1,1
annelida,Nephtys caecoides,334136,1,1,1,1
annelida,Nephtys californiensis,334137,1,0,1,1
annelida,Nephtys ciliata,130356,1,0,0,0
annelida,Nephtys ferruginea,173701,1,1,1,1
annelida,Nephtys glabra,329546,0,0,1,1
annelida,Nephtys longosetosa,130364,1,0,0,1
annelida,Nephtys punctata,254751,1,1,1,0
annelida,Nephtys rickettsi,334153,1,1,0,0
annelida,Nephtys simoni,329561,0,0,1,0
annelida,Nereiphylla castanea,334162,1,0,1,0
annelida,Nereis grubei,334186,1,0,0,0
annelida,Nereis neoneanthes,329702,1,0,0,0
annelida,Nereis pelagica,130404,1,1,1,1
annelida,Nereis procera,329725,1,1,1,0
annelida,Nereis vexillosa,329765,1,1,1,1
annelida,Nereis zonata,130407,1,1,1,1
annelida,Nerilla antennata,130437,1,0,0,0
annelida,Nerilla digitata,329771,1,0,1,0
annelida,Nerilla inopinata,329772,1,0,0,0
annelida,Nicolea zostericola,131508,1,0,0,1
annelida,Nicomache lumbricalis,130311,1,0,1,1
annelida,Nicomache personata,130314,1,0,1,1
annelida,Nicon moniloceras,334213,1,0,0,0
annelida,Ninoe gemmea,329948,0,0,1,0
annelida,Nootkadrilus compressus,475940,1,1,1,0
annelida,Nootkadrilus gracilisetosus,475943,1,1,1,0
annelida,Nootkadrilus hamatus,475945,1,1,1,0
annelida,Nootkadrilus longisetosus,475946,1,1,1,0
annelida,Nootkadrilus verutus,475947,1,1,1,0
annelida,Nothria conchylega,130467,1,0,1,1
annelida,Notocirrus californiensis,329987,1,0,1,0
annelida,Notomastus giganteus,330012,1,0,0,0
annelida,Notomastus hemipodus,157504,0,0,1,0
annelida,Notomastus latericeus,129898,0,1,1,1
annelida,Notomastus lineatus,129899,1,1,1,0
annelida,Notomastus tenuis,334241,1,1,1,0
annelida,Notomastus variegatus,330018,1,0,0,0
annelida,Notophyllum (Hesperophyllum) tectum,334243,1,0,0,0
annelida,Notophyllum imbricatum,330025,1,1,0,0
annelida,Notoproctus pacificus,334247,1,0,1,0
annelida,Notostomum cyclostomum,370644,1,0,0,0
annelida,Oceanobdella pallida,370647,1,0,0,0
annelida,Octobranchus pacificus,986737,1,0,0,0
annelida,Odontosyllis parva,330086,1,0,0,0
annelida,Odontosyllis phosphorea,330087,1,0,1,1
annelida,Onuphis affinis,330117,0,0,1,0
annelida,Onuphis elegans,334273,1,1,1,1
annelida,Onuphis geophiliformis,334274,1,0,1,0
annelida,Onuphis iridescens,334275,1,1,1,1
annelida,Ophelia assimilis,330165,0,0,1,0
annelida,Ophelia limacina,130494,1,0,1,1
annelida,Ophelia pulchella,330176,0,0,1,0
annelida,Ophelina acuminata,130500,1,1,1,1
annelida,Ophelina breviata,130502,1,1,1,0
annelida,Ophryotrocha vivipara,330219,1,1,1,1
annelida,Opisthodonta uraga,761612,1,1,1,0
annelida,Orbiniella nuda,329840,1,1,1,0
annelida,Orientobdella confluens,370649,0,1,1,0
annelida,Oriopsis gracilis,329855,1,0,0,0
annelida,Oriopsis minuta,334322,1,0,0,0
annelida,Ostreobdella papillata,370652,1,0,0,0
annelida,Otopsis longipes,329876,1,0,0,0
annelida,Owenia fusiformis,130544,0,1,1,1
annelida,Owenia johnsoni,329885,0,0,1,0
annelida,Oxydromus pugettensis,710706,1,1,1,1
annelida,Paleanotus bellis,334328,1,1,1,0
annelida,Paradexiospira (Spirorbides) vitrea,334341,1,0,0,1
annelida,Paradialychone bimaculata,558739,0,1,1,0
annelida,Paradialychone ecaudata,558740,1,0,1,1
annelida,Paradiopatra lepta,130479,0,1,0,0
annelida,Paradiopatra parva,334344,1,0,1,1
annelida,Paradoneis lyra,130585,1,0,0,0
annelida,Paradoneis spinifera,334349,1,0,0,0
annelida,Paralaeospira malardi,131216,1,0,0,0
annelida,Paranais frici,137484,1,0,0,1
annelida,Paranais litoralis,137485,1,0,0,1
annelida,Paranaitis polynoides,157521,0,1,1,1
annelida,Paraonides platybranchia,334387,1,0,0,0
annelida,Paraprionospio pinnata,131140,1,1,1,1
annelida,Parasabella media,339919,1,0,1,0
annelida,Parasabella rugosa,530933,0,0,1,0
annelida,Parougia batia,334412,0,0,1,0
annelida,Parougia caeca,130036,1,0,1,0
annelida,Pectinaria californiensis,337505,1,1,1,1
annelida,Pectinodrilus tempestatis,476025,1,1,1,0
annelida,Perinereis monterea,334445,1,0,0,0
annelida,Petaloproctus borealis,130319,1,0,1,0
annelida,Pettiboneia pugettensis,334467,1,0,1,0
annelida,Pherusa inflata,157528,1,0,1,0
annelida,Pherusa papillata,334490,0,1,0,0
annelida,Pherusa plumosa,130113,1,1,1,1
annelida,Pholoe glabra,330542,0,0,1,1
annelida,Pholoe minuta,130603,1,0,1,1
annelida,Pholoides asperus,334498,0,0,1,1
annelida,Phyllochaetopterus claparedii,330559,1,0,0,0
annelida,Phyllochaetopterus prolifica,330562,1,0,1,1
annelida,Phyllocomus hiltoni,209911,1,0,1,0
annelida,Phyllodoce citrina,130666,1,0,1,0
annelida,Phyllodoce cuspidata,334505,0,0,1,0
annelida,Phyllodoce groenlandica,334506,1,1,1,1
annelida,Phyllodoce hartmanae,330596,0,1,1,0
annelida,Phyllodoce longipes,130673,0,0,1,0
annelida,Phyllodoce maculata,334510,1,0,0,1
annelida,Phyllodoce madeirensis,130677,1,0,1,1
annelida,Phyllodoce medipapillata,334511,1,0,1,1
annelida,Phyllodoce mucosa,334512,1,0,1,1
annelida,Phyllodoce multipapillata,536461,0,1,1,0
annelida,Phyllodoce multiseriata,730040,1,1,1,0
annelida,Phyllodoce pettiboneae,330622,0,0,1,0
annelida,Phyllodoce williamsi,536467,1,1,1,0
annelida,Phylo felix,244666,0,1,1,1
annelida,Pilargis berkeleyae,334520,1,1,1,0
annelida,Pilargis maculata,330655,0,0,1,0
annelida,Pionosyllis gigantea,330689,1,0,0,0
annelida,Pionosyllis magnifica,330693,1,0,1,0
annelida,Piromis eruca,130114,1,0,0,0
annelida,Pisione remota,130707,0,0,1,1
annelida,Pista agassizi,330750,0,1,1,0
annelida,Pista alata,334538,0,0,1,0
annelida,Pista brevibranchiata,330754,1,0,1,1
annelida,Pista cristata,131516,1,0,0,1
annelida,Pista disjuncta,330758,0,0,1,0
annelida,Pista elongata,330759,1,1,1,1
