worms_phylum,worms_valid_name,worms_id,checklist,idigbio,obis,bold
annelida,Leitoscoloplos foliosus,421018,1,1,1,0
annelida,Leitoscoloplos fragilis,157447,1,1,1,0
annelida,Leitoscoloplos robustus,421019,1,1,1,0
annelida,Leodamas treadwelli,847442,1,1,1,0
annelida,Leodice antennata,336660,1,1,1,1
annelida,Leodice antillensis,742168,1,1,1,0
annelida,Leodice rubra,742175,1,1,1,1
annelida,Leonnates decipiens,130376,1,1,1,0
annelida,Lepidametria commensalis,236706,1,0,1,0
annelida,Lepidametria lactea,333791,1,0,1,0
annelida,Lepidasthenia varius,333803,1,1,1,0
annelida,Lepidonopsis humilis,333806,1,1,1,1
annelida,Lepidonotus sublevis,157450,1,1,1,0
annelida,Lepidonotus variabilis,328822,1,1,1,0
annelida,Levidorum hartmanae,328838,1,1,1,0
annelida,Levidorum pettiboneae,328839,1,1,1,0
annelida,Levinsenia gracilis,130578,1,1,1,1
annelida,Levinsenia multibranchiata,156208,1,1,1,0
annelida,Levinsenia reducta,421033,1,1,1,0
annelida,Linopherus ambigua,333833,1,1,1,0
annelida,Linopherus paucibranchiata,129835,1,1,1,0
annelida,Lissomyema exilii,266786,1,0,1,0
annelida,Litocorsa acuminata,870267,1,1,1,0
annelida,Litocorsa antennata,328850,1,1,1,0
annelida,Litocorsa ewingi,870272,1,1,1,0
annelida,Loimia medusa,131499,1,1,1,1
annelida,Loimia viridis,328870,1,1,1,0
annelida,Lumbricalus dayi,328882,1,1,1,0
annelida,Lumbrinerides aberrans,421062,1,1,1,0
annelida,Lumbrinerides acuta,130228,1,1,1,0
annelida,Lumbrinerides crassicephala,421063,1,0,1,0
annelida,Lumbrinerides dayi,157465,1,1,1,0
annelida,Lumbrinerides jonesi,328910,1,1,1,0
annelida,Lumbrinerides uebelackerae,328913,1,1,1,0
annelida,Lumbrineriopsis paradoxa,130235,1,1,1,0
annelida,Lumbrineris bidens,157470,1,1,1,0
annelida,Lumbrineris cingulata,130240,1,1,1,0
annelida,Lumbrineris coccinea,130242,1,1,1,0
annelida,Lumbrineris floridana,335103,1,0,1,0
annelida,Lumbrineris inflata,130246,1,1,1,1
annelida,Lumbrineris januarii,157478,1,1,1,0
annelida,Lumbrineris latreilli,130248,1,1,1,1
annelida,Lumbrineris limicola,327174,1,1,1,0
annelida,Lumbrineris nonatoi,130251,1,1,1,0
annelida,Lumbrineris perkinsi,327192,1,1,1,1
annelida,Lumbrineris salazari,327198,1,1,1,0
annelida,Lumbrineris tetraura,152293,1,1,1,1
annelida,Lygdamis indicus,209907,1,1,1,0
annelida,Lysarete raquelae,328979,1,1,1,0
annelida,Lysidice hebes,742228,1,1,1,0
annelida,Lysidice ninetta,130071,1,1,1,1
annelida,Lysippe annectens,335875,1,1,1,0
annelida,Macrochaeta clavicornis,129745,1,1,1,1
annelida,Macroclymene zonalis,421017,1,1,1,0
annelida,Magelona cincta,156231,1,1,1,1
annelida,Magelona cornuta,329131,1,1,1,0
annelida,Magelona pettiboneae,329153,1,1,1,0
annelida,Magelona phyllisae,329154,1,1,1,0
annelida,Magelona polydentata,329156,1,1,1,0
annelida,Magelona riojai,329160,1,1,1,0
annelida,Magelona rosea,130273,1,1,1,0
annelida,Magelona spinifera,578016,1,1,1,0
annelida,Magelona uebelackerae,578017,1,1,1,0
annelida,Malacoceros indicus,209864,1,1,1,0
annelida,Malacoceros vanderhorsti,333955,1,1,1,0
annelida,Maldane glebifex,130303,1,1,1,1
annelida,Maldane sarsi,130305,1,1,1,1
annelida,Malmgreniella maccraryae,329205,1,1,1,0
annelida,Malmgreniella pierceae,329210,1,1,1,0
annelida,Malmgreniella puntotorensis,329211,1,1,1,0
annelida,Malmgreniella taylori,329213,1,1,1,0
annelida,Malmgreniella variegata,421037,1,1,1,0
annelida,Marenzelleria viridis,131135,1,1,1,1
annelida,Marphysa angelensis,329228,1,1,1,0
annelida,Marphysa bellii,130072,1,1,1,1
annelida,Marphysa conferta,329238,1,1,1,0
annelida,Marphysa disjuncta,329241,1,0,1,1
annelida,Marphysa fragilis,336724,1,1,0,0
annelida,Marphysa kinbergi,130074,1,1,1,0
annelida,Marphysa minima,333978,1,1,1,0
annelida,Marphysa mortenseni,329254,1,1,1,0
annelida,Marphysa sanguinea,130075,1,1,1,1
annelida,Mastobranchus variabilis,329276,1,1,1,0
annelida,Mediomastus ambiseta,157482,1,0,1,0
annelida,Mediomastus californiensis,157483,1,1,1,1
annelida,Melinna cristata,129804,1,1,1,1
annelida,Melinna maculata,157486,1,1,1,0
annelida,Mesochaetopterus capensis,334003,1,1,1,0
annelida,Mesochaetopterus taylori,157487,1,1,1,1
annelida,Metaxypsamma uebelackerae,329358,1,1,1,0
annelida,Methanoaricia dendrobranchiata,329359,1,1,1,0
annelida,Mexieulepis weberi,421040,1,0,1,1
annelida,Micronephthys minuta,130348,1,1,1,1
annelida,Microphthalmus hamosus,157488,1,1,1,0
annelida,Microphthalmus sczelkowii,130174,1,0,1,0
annelida,Microspio pigmentata,157490,1,1,1,0
annelida,Mooreonuphis dangrigae,334031,1,1,1,0
annelida,Mooreonuphis nebulosa,334037,1,1,1,1
annelida,Mooreonuphis pallidula,334038,1,1,1,1
annelida,Mooreonuphis stigmatis,334041,1,1,1,0
annelida,Myrianida dentalia,238203,1,1,1,1
annelida,Myrianida prolifera,238200,1,1,1,1
annelida,Myriowenia californiensis,329083,1,1,1,0
annelida,Mystides borealis,130653,1,1,1,0
annelida,Myzobdella lugubris,160303,1,1,1,1
annelida,Naineris bicornis,329415,1,1,1,0
annelida,Naineris dendritica,334057,1,1,1,1
annelida,Naineris grubei,334058,1,1,1,0
annelida,Naineris laevigata,130515,1,1,1,1
annelida,Naineris setosa,334062,1,1,1,0
annelida,Namalycastis borealis,329425,1,0,1,0
annelida,Neanthes acuminata,157496,1,1,1,1
annelida,Neoamphitrite edwardsi,131503,1,1,1,0
annelida,Neogyptis crypta,743515,1,1,1,0
annelida,Neogyptis plurisetis,743517,1,1,1,0
annelida,Neolipobranchius blakei,329509,1,0,1,0
annelida,Nephtys bucera,157499,1,1,1,0
annelida,Nephtys cryptomma,329542,1,1,1,0
annelida,Nephtys incisa,130362,1,1,1,1
annelida,Nephtys magellanica,334146,1,1,1,0
annelida,Nephtys picta,157501,1,1,1,0
annelida,Nephtys simoni,329561,1,1,1,0
annelida,Nephtys squamosa,334156,1,1,1,0
annelida,Nereiphylla castanea,334162,1,1,1,0
annelida,Nereiphylla fragilis,157502,1,1,1,0
annelida,Nereis (Neanthes) micromma,329584,1,1,0,0
annelida,Nereis grayi,157503,1,1,1,0
annelida,Nereis jacksoni,130401,1,0,1,0
annelida,Nereis lamellosa,130402,1,1,1,0
annelida,Nereis oligohalina,421048,1,1,1,0
annelida,Nereis panamensis,329714,1,1,1,0
annelida,Nereis pelagica,130404,1,1,1,1
annelida,Nereis riisei,329735,1,1,1,1
annelida,Nereis splendida,334198,1,1,1,0
annelida,Nicidion cariboea,742186,1,1,1,1
annelida,Nicidion longula,988351,1,1,1,0
annelida,Nicidion mutilata,742192,1,1,1,1
annelida,Nicon aestuariensis,329814,1,0,1,0
annelida,Nicon moniloceras,334213,1,1,1,0
annelida,Ninoe brasiliensis,329827,1,1,1,0
annelida,Ninoe leptognatha,329951,1,1,1,1
annelida,Ninoe nigripes,130255,1,1,1,1
annelida,Ninoe vargasi,329961,1,1,1,0
annelida,Ninoe wardae,329962,1,1,1,0
annelida,Notaulax circumspiciens,421077,1,0,1,0
annelida,Notaulax nudicollis,421078,1,1,1,0
annelida,Notaulax occidentalis,421079,1,0,1,0
annelida,Notaulax phaeotaenia,130935,1,1,1,0
annelida,Nothria textor,329984,1,1,1,0
annelida,Notomastus daueri,330009,1,1,1,0
annelida,Notomastus hemipodus,157504,1,1,1,0
annelida,Notomastus latericeus,129898,1,1,1,1
annelida,Notomastus lineatus,129899,1,1,1,0
annelida,Notomastus lobatus,157505,1,1,1,0
annelida,Notomastus tenuis,334241,1,1,1,0
annelida,Novafabricia infratorquata,334257,1,0,1,0
annelida,Odontosyllis enopla,330066,1,1,1,0
annelida,Odontosyllis fulgurans,131327,1,1,1,1
annelida,Odontosyllis luminosa,330080,1,1,1,0
annelida,Odontosyllis octodentata,330085,1,1,0,0
annelida,Oenone fulgida,130451,1,1,1,1
annelida,Oligobregma aciculata,722790,1,1,1,0
annelida,Onuphis eremita,130470,1,1,1,0
annelida,Onuphis texana,334285,1,1,1,0
annelida,Ophelia denticulata,155463,1,1,1,0
annelida,Ophelina acuminata,130500,1,1,1,1
annelida,Ophelina cylindricaudata,130503,1,1,1,1
annelida,Ophiogoniada lyra,240603,1,1,1,0
annelida,Opisthodonta spinigera,421053,1,1,1,0
annelida,Opisthodonta uebelackerae,421054,1,1,1,0
annelida,Opisthosyllis brunnea,131332,1,1,1,0
annelida,Opisthosyllis longidentata,330232,1,1,1,0
annelida,Orbinia americana,157513,1,1,1,0
annelida,Orbinia riseri,157515,1,1,1,0
annelida,Oriopsis anneae,329845,1,0,1,0
annelida,Ougia tenuidentis,329878,1,1,1,0
annelida,Owenia fusiformis,130544,1,1,1,1
annelida,Oxydromus agilis,710683,1,1,1,0
annelida,Oxydromus mutilatus,710700,1,1,1,0
annelida,Oxydromus obscurus,710702,1,1,1,1
annelida,Ozobranchus branchiatus,370654,1,1,1,1
